CHAIN,STAKER,AMOUNT
polygon,0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,0.0
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,122.535921311791948728
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,178.407666992534746494
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,310.280690209760244707
polygon,0x035f23Cf31b863F8370A865e3D6442257C582887,50.269051116664241622
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,186.881543953214612374
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,26.78136289109295832
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,1268.19967346502724584
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,568.111558416150302635
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,580.407341122187898622
polygon,0xD9FE58c4E6af446af8E6f36669ba1756CB535aB4,0.0
polygon,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,1002.389492519462231053
polygon,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,558.514516914443479696
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,1373.116697256931439192
polygon,0xf9e0206f9f020DE9423A80ace7A64B322D0CE334,0.0
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,211.684420380480163252
polygon,0x7fbF7133d58058f9A369Ca0852A627957C63DaB1,0.0
polygon,0xb0C3996E6DE3CD92201Fb1a59e6730b0e9Ba5a6e,428.967183562417376563
polygon,0xb0C3996E6DE3CD92201Fb1a59e6730b0e9Ba5a6e,139.3
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,1395.410962344444943737
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,2786.0
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,3580.869519643419390985
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,542.835642583468655057
polygon,0x7dB505e48816d56d46FACD93EC874B3f10f9E963,0.0
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,1691.5
polygon,0xD9FE58c4E6af446af8E6f36669ba1756CB535aB4,0.0
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,1242.840175511243932533
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,72.880263109968465909
polygon,0x6FeF8A579fD2ab7Db03dB9d27E6E5aB2422829e1,733.925605615414699081
polygon,0x5C4334D46Ca8A5328946325D94ECFf71e8BEbB30,0.0
polygon,0x38D4d76Fd130bb1EaEC92a9Ff4977e6f7cCB861a,0.0
polygon,0x3fC092C05E47311932fa3edAFB1B623039E2f7C2,0.0
polygon,0xbf1f7Eaf0309ABF9e68f06329CD602BC00ab92e3,0.0
polygon,0xCc765eEc6Ea70204E7ace6e813B95996551587bB,0.0
polygon,0x697EF99fF3a39292645f67960D6eD3306Efdda65,0.0
polygon,0xed2458F3A7a70A3268E981dBCadB0791d0d6ACBA,0.0
polygon,0xed2458F3A7a70A3268E981dBCadB0791d0d6ACBA,81.686580124380612719
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,5766.67874879044248341
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,3570.596482637440604249
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,1990.0
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,7960.0
polygon,0x6FeF8A579fD2ab7Db03dB9d27E6E5aB2422829e1,895.5
polygon,0x19A313d0D3eF1Cd269817aE4f943DFf55CfF2568,0.2985
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,4975.0
