CHAIN,SENDER,ASSETS,LP ($USD)
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.159926694411205034,0.636385
polygon,0x035f23Cf31b863F8370A865e3D6442257C582887,5.000323957546092742,19.897439
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,13.119357885351738821,52.204942
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,11.936821051967783131,47.499356
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,15.842146448657583596,63.039544
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,105.755224233420572465,420.82436
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,13.226384737770049652,52.630826
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,8.414561114483325787,33.483474
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,1.788178434072977362,7.115573
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,23.310148456503051713,92.756442
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,41.85282691271533323,166.542024
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,7.681137083047776066,30.565011
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,3.796441914477273451,15.106915
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,7.351168360225222665,29.251989
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.000011141072059215,0.000044
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.000011141072321622,0.000044
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.000001113226028802,0.000004
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.005521196465867089,0.02197
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.01445997291111166,0.057539
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.011350891944917354,0.045167
polygon,0x605203FA80FB81b3AcdCa5b26fA7cBC8F9CaCFcE,0.20989227472247792,0.835209
polygon,0x04E09A7992Ef93349A01a333196dE7f39822a03C,0.005031465103693463,0.020021
polygon,0x04E09A7992Ef93349A01a333196dE7f39822a03C,0.007547197655540196,0.030032
polygon,0xBEB01AAb5167402a5e89D057a714FabfF94C3112,0.141975275830165143,0.564952
polygon,0x21D90E6F18f3848d9e45F34BdB4dfdde3FA09D1a,0.153547649514847367,0.611001
polygon,0xd8c31BfE46800DCE48e0372C77A637b945060310,0.000142014918479642,0.000565
polygon,0x21D90E6F18f3848d9e45F34BdB4dfdde3FA09D1a,0.000000000000000009,0.0
polygon,0x21D90E6F18f3848d9e45F34BdB4dfdde3FA09D1a,0.310609048116821203,1.235984
polygon,0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,7.376595674723472632,29.35317
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,29.87213102422489609,118.868079
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,0.016169104123848914,56.807989
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,0.004841562727199095,17.010184
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.025394711147748025,89.220928
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.020539844268057399,72.164001
polygon,0x6FeF8A579fD2ab7Db03dB9d27E6E5aB2422829e1,0.003655210893778276,12.842095
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.02379435899150419,83.598304
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.069047959104347425,242.590789
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.01377883715118403,48.410105
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.018138415416537802,63.726901
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.021032633385924987,73.89535
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.023171326405162993,81.409362
polygon,0xB654Bec62d09b25CcA5B3AF8F72688F7bE3a0Ba7,0.003009541837943249,10.573623
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.02504136448805547,87.979492
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.000001704169116084,0.005987
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.000100073284321818,0.351594
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.000100073284321817,0.351594
