CHAIN,SENDER,ASSETS
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.009999
polygon,0x4d68BF377995c478bb8D3bB1eDE71502c7E55E94,0.001
polygon,0xB7249313d22590f7d336Fb256cae48eB96bb1547,1.0
polygon,0x25FA68A4c340202737EDBC67fD1a2Ec8DE872dB6,0.791861
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.01
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.003897
polygon,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,4.9999
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.01
polygon,0x605203FA80FB81b3AcdCa5b26fA7cBC8F9CaCFcE,0.871803
polygon,0x0754F1Df5f57C969E82a4E6e9d1f1c7D04Df7587,0.001
polygon,0x1415517e51Cd6b8cca8C1Da56400ff47aab03644,0.25
polygon,0x59c6D0c21d9700F3dbD25c7533C87ebA53fFbFff,0.025
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,2.975212
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,2000.0
polygon,0xcb7660FA622b497c0FbFd50dF65fAc7a0014283f,0.25
polygon,0x1c0adf1f864339D8a5055472F0693cC3Ac04A5b3,0.009999
polygon,0x03d6C99f3Aae91937612BA0e2843C2405e01850d,4.99991
polygon,0x00FdDf15962fd7a4381E83dC82645Cf2a45db33D,0.047236
polygon,0x81FEA9f8b7b80484316Aee6Ef8FbD967e6cC4318,0.258629
polygon,0x62af4aE284b71FD83B5eebdAda0743590B139531,6.057006
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,600.0
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,5.023787
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,53.302536
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,45.800789
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,22.962674
polygon,0x49EdA9C3F0CD41417349881a775C61C47E659396,41.113013
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.01
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.009998
polygon,0x4d68BF377995c478bb8D3bB1eDE71502c7E55E94,0.0001
polygon,0x25FA68A4c340202737EDBC67fD1a2Ec8DE872dB6,1.0
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.01
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.003896
polygon,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,5.0
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.01
polygon,0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,30.555139
polygon,0x0754F1Df5f57C969E82a4E6e9d1f1c7D04Df7587,0.001
polygon,0x1415517e51Cd6b8cca8C1Da56400ff47aab03644,0.31
polygon,0x59c6D0c21d9700F3dbD25c7533C87ebA53fFbFff,0.016
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,306.337558
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,1400.0
polygon,0xc0c6Be31753D48878d70a399d8Fd3e3CA181c005,13.31
